# Stores to EXCLUDE from the WordPress import (source: Delete_Store_1st_August 1.xlsx).
# One name per line, matched case-insensitively against WP term names
# with choose_type Store (or missing). The store AND every coupon/deal
# filed under it are skipped. Lines starting with # are comments.
Mosaic Wellness
Treble.ai
Shopping Coupon
Rediff Shopping
Indiamags
Jet Airways
Right Florist
Yepme Shopping
Johareez
Infibeam
Craftsvilla
Bwitch
Chhabra555
Citibank
Elitify
Trendin
Beebay
TicketGoose
FNG Store
Flywidus
Florists In India
Sports365
FruitDay
eTravelsmart
Peopleskart
Uptowngalleria
Favola Shop
Fourseven
Indiaflowermall
Vastu Store
JackandGill
PoppatJamals
Orysta
Fashion Equation
Kitchens Of India
Bujju
DogSpot
Katya Web
Faalsa
Style My Way
Furnishturf
Sportking
The Mobile Store
Shopezone
JacknJewel
Happily Unmarried
Shoppy Star
Pumpkart
Bigflix
Hair & Senses
Lovelychocos
Footloose
Giftsvilla
Esse
More Life London
Ontique
Safety Kart
Zomint
Rockstand
Suranas Jewelove
Valentino
Proptiger
MyNutraMart
Zotezo
PayUMoney
Phoolwala
Khanna Jewels
Me And My Gifts
FoodinKilos
Hallmark
Giftsnideas
Olive Tree Trading
NBus.in
Pickupflowers
BookBindass
Lalco Interiors
Orosilber
French Connection
Planet eves
Vicky
Variation
EdVIE
Purchasekaro.com
Those5DAYS
Host Cats
Book A Flower
Rucept
Miss & Mrs Collections
eKincare
Orient Watch
Golden Inspiration
Click2Door
Latest One
La Vacanza
Medfinder
Florista
Home Need
Voga-Now
MyPoolin
Viaggi Travel world
Styleever
Value Cart
Upbeatz
Ftrendy
Beeline Broking
Hayagi
Intoto
Quest Adventures
SquadRun
WYO
Tuffware
Book My Event
My Envy Box
Zoroy
Make My Delivery
GamersGift
Tekkitake
Yup Recharge
GrabOnRent
Yellow Cabs
DotCabs
DuniyaOnline
Creyate
Bathla
YatraGenie
Style Fiesta
Zopnow
Kart Kiwi
Engrave
HolaChef
Zeezeezoo
Manipal Hospitals
JoybyNature
NinjaCart
Bonita
Pannkh
HitNat
EasyMovies
Cairon
Eemli
Excluzy
Purple Haze Clothing
Ratetag
Sunglasses India
MajorBrands
Lace&Me
Trendy Souk
SnapItToday
Frsh
Petoo
Ixcream
HelloCurry
FoodCloud
Ratlami Chatora
N-Gal
Perfume2Order
SRS Grocery
DholDhamaka
SatvaCart
Foodesto
PinkCity Kirana
The Gourmet Box
BlueJinn
Krocery
Titbit
Organic Garden
CrudeArea
Skin 4 Gadgets
YLP
GreenCart
IndusCraft
HostIcon
SareeVenue
Gyans
Shree Designer Saree
PaylessBazaar
FashionKaFatka
OrangeCabs
JazzMyRide
OnamGifts
NaturalMantra
Dineout
SkyCity Cabs
Second Shaadi
Tripda
Buy 1 Get 1
Florist Xpress
Talkcharge
RockNShop
Heel & Buckle
Salebrations
LiveLi9
ShoppeBoard
SkyCabs
CelCabs
Meena Jewelers
ShubhStore
Silk Museum Surat
NextWorld
Nirdosh
Nulon
FlintStop
New India Florist
Devi Cinemas
KartOffr
CoolBuy
SPI Cinemas
Bruwink
Toteteca
TheArmChair
Zimmber
Loofre
HOF India
ServiceBell
CitrusPay
EgleShoes
National Travels
Divya Mantra
MidNightCake
Designer Era
DTH Recharge
Proyog
GiftPiper
Farm2Kitchen
OneMart
BookMyCab
Gravity Fashion
Natasha Couture
Luxor
FreeTalkie
DivineFnC
Food Feasta
Sahej Suits
PinkCuckoo
Easy Learning Guru
TravelDost
Intimodo
TwentyDresses
Fashalot
TimeSaverz
PsychoStore
HealthBuffet
PetShop18
Kobster
Starmark
ShoppingZone
FastRecharge
QuickRecharge
Meritnation
Kraftly
RoomOnCall
Giftsmate
Puprise
KeysHotels
Doctor Insta
CosmoGuru
Stationery Bazaar
MeraMedicare
StayGlad
Cyankart
SharePyar
SkillingIndia
Indian Shopping Site
Zubiya
Glam New
Speed Medicine
Rostaa
GamingMonk
SchoolKart
Polco India
MyHotelCar
OrderYourChoice
